"Character Name"	"Last Seen"	"Roles"
"ArcanjoMaelll"	"Online"	""
"Artemix666"	"Online"	"STANDARTE;Membro"
"DRACKOVI"	"Online"	""
"DualFort"	"Online"	""
"gustavoadam777"	"Online"	"Membro"
"Kftak"	"Online"	"LOOT LOG;Membro;Recrutador"
"LeooKingStar"	"Online"	"STANDARTE;Membro"
"LuckySeveras"	"Online"	"Membro;Recrutador"
"Mikhaysoviskiy"	"Online"	""
"MrABADOM"	"Online"	"STANDARTE;Oficial;Patrimonio;VIP"
"NefastoBemSagaz"	"Online"	"Membro"
"OsnirDaKombi"	"Online"	"STANDARTE;Sentinela;Patrimonio"
"RyuVex"	"Online"	""
"xJapacudax"	"Online"	"LOOT LOG;Membro"
"yura7642"	"Online"	""
"7ubarao"	"07/20/2026 23:55:06"	""
"Arky62"	"07/12/2026 13:59:01"	""
"BadZimmer"	"07/21/2026 20:37:20"	"Lider Da Guild;Patrimonio"
"BHMG"	"07/21/2026 00:39:57"	"Membro"
"BorgesG"	"07/22/2026 09:32:30"	"Membro"
"BRAD3SC0"	"07/15/2026 04:55:14"	"STANDARTE;Oficial;Patrimonio;VIP AVALON;VIP"
"Cabzada1"	"07/22/2026 16:52:27"	"Membro"
"catyto"	"07/22/2026 05:58:44"	""
"CavaMoon"	"07/20/2026 02:34:46"	""
"Domeuno"	"07/22/2026 16:46:52"	""
"Exillada"	"07/22/2026 02:24:55"	"STANDARTE;Oficial;Sentinela;Patrimonio"
"feteArcher"	"06/23/2026 01:48:19"	"Membro"
"GaaraGzx"	"07/20/2026 07:24:09"	"STANDARTE;Membro"
"Gotigio"	"07/22/2026 14:21:13"	"Membro"
"HaiseRyusei"	"07/22/2026 16:14:51"	"Membro"
"Hequedin"	"06/05/2026 02:58:23"	"STANDARTE;Mao Direito"
"hequedo"	"07/19/2026 20:59:12"	"Mao Direito"
"Irmadocoque"	"07/22/2026 13:45:59"	"STANDARTE;Membro;Recrutador"
"JulyCarla"	"07/22/2026 01:16:43"	""
"KidKhay"	"06/08/2026 19:04:19"	"STANDARTE;Mao Direito;Oficial;RENT;Membro"
"laiaking"	"07/22/2026 15:06:29"	""
"Laxxusx"	"07/20/2026 21:15:35"	""
"Legendskkkj"	"07/22/2026 06:00:04"	""
"Leozerah069"	"07/22/2026 00:58:42"	"Membro"
"LokSub"	"06/06/2026 12:04:35"	"VIP"
"loxhus"	"07/22/2026 02:11:23"	""
"LuizMeireles"	"07/22/2026 18:04:00"	"Lider Da Guild;Mestre da Guilda"
"Matheuz2"	"07/21/2026 19:52:33"	""
"MrDodgerGo"	"07/22/2026 17:02:53"	""
"mt0506"	"07/22/2026 16:57:36"	""
"netoBek"	"07/22/2026 05:45:26"	""
"panquinho70"	"07/22/2026 15:07:08"	"VIP"
"purungo2"	"07/20/2026 00:31:30"	"Membro"
"RamBamBam"	"07/07/2026 03:09:51"	""
"Rideiike"	"07/22/2026 12:48:33"	"Membro;VIP"
"SalveGalera02"	"07/21/2026 04:59:50"	"Membro;Recrutador"
"SHANKSYS"	"07/12/2026 23:04:32"	""
"SinkCrazy"	"07/22/2026 17:02:40"	"Recrutador"
"Thalvornis"	"07/22/2026 01:22:33"	"Membro"
"TheDiik"	"07/22/2026 17:46:27"	""
"TheKingUndead"	"07/18/2026 21:38:24"	"Membro"
"THimawari"	"07/22/2026 18:16:34"	""
"TShacco"	"07/22/2026 03:24:18"	""
"Tuniky"	"07/21/2026 02:00:59"	""
"Vanxzr"	"07/22/2026 00:47:37"	""
"velhoobarrreiro"	"07/21/2026 00:28:07"	""
"VpGabriel"	"07/22/2026 16:32:17"	""
"WEwonDeus"	"07/21/2026 18:52:31"	"Miembro ESP"
"WiissYT"	"07/20/2026 21:02:20"	"STANDARTE;Membro;Recrutador"
"WizardRL"	"07/17/2026 17:43:35"	"Membro"
"xJapa2x"	"07/22/2026 03:39:57"	"LOOT LOG;Membro"
"xlxYoshitoxlx"	"07/22/2026 16:13:34"	""
"xXDyegoXx"	"07/17/2026 09:14:09"	""
"XZETSX"	"07/22/2026 03:37:49"	"STANDARTE"
